n_blocks,combo,model,k,C,n_train_windows,auc,acc,p_high_low,p_high_moderate,p_high_high
2,4_6,svm_lin,54,0.01,593,0.6300428881138657,0.5849514563106796,0.2853835157606837,0.4815156512911599,0.5333252279939397
2,4_6,svm_lin,54,0.1,593,0.6226847487981901,0.49271844660194175,0.08801623443988406,0.1379370754219011,0.1138423876893251
2,4_6,svm_lin,54,1.0,593,0.6653254312376284,0.4842233009708738,0.05913794763660041,0.07867108899081907,0.06506843799050278
2,5_6,logreg,10,0.003,593,0.5480723913658214,0.4842233009708738,0.16999131441116333,0.17090821266174316,0.1621183156967163
2,5_6,svm_lin,10,0.01,593,0.5266931379017815,0.47815533980582525,0.11247699631733844,0.12715712987313968,0.09592569160633782
2,5_6,svm_lin,10,0.1,593,0.5344577717032708,0.5036407766990292,0.018854353893733775,0.016462828851013037,0.019163230421007583
2,5_6,svm_lin,10,1.0,593,0.5558370251673108,0.5,0.0006820055081184091,0.0009058762781157447,0.002757809039601758
2,5_6,logreg,20,0.003,593,0.5465701291356395,0.47815533980582525,0.2290613055229187,0.2236352413892746,0.21622096002101898
2,5_6,svm_lin,20,0.01,593,0.5147634084268075,0.4817961165048544,0.2660887398471533,0.2967902630002667,0.26721508710033864
2,5_6,svm_lin,20,0.1,593,0.5134202092562918,0.5,0.2740614783040274,0.32609581436318685,0.2960172407171895
2,5_6,svm_lin,20,1.0,593,0.5393651616551984,0.5121359223300971,0.2053800168230046,0.23397013026008295,0.23835622788996988
2,5_6,logreg,30,0.003,593,0.5887984258648317,0.5,0.0029196925461292267,0.0011691200779750943,0.000960146717261523
2,5_6,svm_lin,30,0.01,593,0.49784381185785653,0.5,6.993673178433512e-08,7.212392382238374e-08,7.054093282244218e-08
2,5_6,svm_lin,30,0.1,593,0.4877226882835328,0.5,3.591015582617296e-05,1.0449464287549558e-07,7.782829163862092e-07
2,5_6,svm_lin,30,1.0,593,0.46003982467716087,0.49150485436893204,0.033612671174885936,0.01729288183164954,0.007509976353789528
2,5_6,logreg,40,0.003,593,0.6072968705815817,0.5,0.0029223107267171144,0.0009685858385637403,0.0008256987784989178
2,5_6,svm_lin,40,0.01,593,0.6135886982750495,0.5,7.061631026834703e-08,7.889343186551867e-08,8.220812870976484e-08
2,5_6,svm_lin,40,0.1,593,0.6010050428881138,0.4975728155339806,0.012095685644347601,0.0009487768698011667,8.581370352565755e-07
2,5_6,svm_lin,40,1.0,593,0.6116563766613253,0.4866504854368932,0.032663453436010056,0.033689183994641984,0.0055922437708157535
2,5_6,logreg,54,0.003,593,0.6054411348854747,0.5,0.0005910787731409073,0.0005006404826417565,0.0001874995359685272
2,5_6,svm_lin,54,0.01,593,0.5787479969836931,0.5,6.951209137310199e-08,7.589280873168553e-08,7.682928442727984e-08
2,5_6,svm_lin,54,0.1,593,0.5496100009425959,0.5,7.616951992562799e-06,1.113952577830854e-07,8.536238508958545e-08
2,5_6,svm_lin,54,1.0,593,0.5369880525968518,0.49150485436893204,0.023489546725042776,0.00996783259719053,1.669814752518142e-07
3,1_2_3,logreg,10,0.003,927,0.5699523989065887,0.5,0.13907167315483093,0.13750381767749786,0.1515873670578003
3,1_2_3,svm_lin,10,0.01,927,0.5654750683382034,0.5,0.10188282512126136,0.10532004348941953,0.11871372024544578
3,1_2_3,svm_lin,10,0.1,927,0.562983080403431,0.4963592233009709,0.18378681043727493,0.20891267169244998,0.22121831720182836
3,1_2_3,svm_lin,10,1.0,927,0.565651805071166,0.5473300970873787,0.4478134400497191,0.5079956724807725,0.5300780246875196
3,1_2_3,logreg,20,0.003,927,0.678863464982562,0.508495145631068,0.2007034420967102,0.2465468794107437,0.30015745759010315
3,1_2_3,svm_lin,20,0.01,927,0.6629571590159298,0.6140776699029126,0.4016313067565407,0.5365344968586566,0.6336191397302166
3,1_2_3,svm_lin,20,0.1,927,0.6493837779244038,0.5934466019417476,0.6333642124410362,0.854527155481806,0.9098476267021063
3,1_2_3,svm_lin,20,1.0,927,0.6506091526062777,0.5983009708737864,0.5362855739959,0.8053733817991133,0.8542059195008538
3,1_2_3,logreg,30,0.003,927,0.6851611839004618,0.6347087378640777,0.4580979645252228,0.5737159848213196,0.6462216377258301
3,1_2_3,svm_lin,30,0.01,927,0.6581322462060515,0.5436893203883495,0.8093874349308207,0.9591357476187431,0.9820373623203249
3,1_2_3,svm_lin,30,0.1,927,0.6679941559053634,0.5509708737864077,0.7875357951915821,0.9628643620726074,0.9878545831021109
3,1_2_3,svm_lin,30,1.0,927,0.6759473088886795,0.5934466019417476,0.6261697064409464,0.8914809123775008,0.9395670704302296
3,1_2_3,logreg,40,0.003,927,0.68668111980394,0.6274271844660194,0.47472766041755676,0.6059093475341797,0.677349328994751
3,1_2_3,svm_lin,40,0.01,927,0.6679175699877462,0.5461165048543689,0.7986774367567624,0.9559050367412828,0.9793723415334294
