n_blocks,combo,model,k,C,gamma,n_est,n_train_windows,auc,acc,youdens_j,j_threshold,p_high_low,p_high_moderate,p_high_high
3,2_5_6,rf,30,nan,na,200,902,0.5433653030445847,0.5109223300970874,0.08737864077669899,0.13,0.2296116504854369,0.22303398058252427,0.24643203883495146
3,2_5_6,rf,40,nan,na,200,902,0.5460340277123199,0.5157766990291263,0.09708737864077677,0.21,0.2800242718446602,0.27859223300970876,0.29906553398058255
3,2_5_6,rf,54,nan,na,200,902,0.5231554576303139,0.5048543689320388,0.06796116504854377,0.155,0.2497330097087379,0.2507038834951456,0.2615533980582524
3,3_4_5,logreg,10,0.003,na,0,927,0.5300570270525027,0.47815533980582525,0.11165048543689327,0.23441916704177856,0.2719343304634094,0.2685796916484833,0.26651307940483093
3,3_4_5,svm_lin,10,0.01,na,0,927,0.5188224620605146,0.4830097087378641,0.0873786407766991,0.10499618980814714,0.22557827158245314,0.22633520872013949,0.2243528172072534
3,3_4_5,svm_lin,10,0.1,na,0,927,0.5202775944952399,0.4987864077669903,0.09466019417475724,0.35693888486616593,0.4432429448707354,0.44798506272790806,0.45448798249539435
3,3_4_5,svm_lin,10,1.0,na,0,927,0.5072815533980582,0.5133495145631068,0.08495145631067968,0.6565465376619225,0.747090790463792,0.7568535016271876,0.7608048329539899
3,3_4_5,svm_rbf,10,0.1,auto,0,927,0.4329578659628617,0.5,0.02912621359223301,0.3471764641534677,0.3013150362300277,0.3075225141668212,0.30215036063736483
3,3_4_5,svm_rbf,10,0.1,scale,0,927,0.4329696484117259,0.5,0.02912621359223301,0.3471760462229159,0.30131394400501654,0.3075215216409769,0.3021492128771295
3,3_4_5,svm_rbf,10,1.0,auto,0,927,0.42524625318126114,0.5,0.01941747572815534,0.2363980513452833,0.13529548693646204,0.14811868402102069,0.136243875637362
3,3_4_5,svm_rbf,10,1.0,scale,0,927,0.42524625318126114,0.5,0.01941747572815534,0.23640016594011265,0.13529694566260156,0.14812025132771373,0.13624532010406606
3,3_4_5,svm_rbf,10,10.0,auto,0,927,0.4394735601847488,0.5,0.04368932038834951,0.06845197818354996,0.011518152883472908,0.013539087425883414,0.01616041999933516
3,3_4_5,svm_rbf,10,10.0,scale,0,927,0.4394617777358846,0.5,0.04368932038834951,0.06845233291413379,0.011518037642128932,0.013538336934993993,0.016159083390260353
3,3_4_5,lda,10,nan,na,0,927,0.4914047035535866,0.49271844660194175,0.08009708737864074,0.3872818564843364,0.5046920213923296,0.528350719289261,0.50297763427918
3,3_4_5,logreg,20,0.003,na,0,927,0.624787915920445,0.4854368932038835,0.279126213592233,0.21323487162590027,0.2424452304840088,0.2896610498428345,0.30712372064590454
3,3_4_5,svm_lin,20,0.01,na,0,927,0.6134355264398152,0.470873786407767,0.28398058252427183,0.09086360462674638,0.14723612712149975,0.181101865220234,0.17010986508818446
3,3_4_5,svm_lin,20,0.1,na,0,927,0.6125636252238664,0.6347087378640777,0.28398058252427183,0.4528232183038631,0.48129109962534583,0.5980504785236002,0.7014206155457642
3,3_4_5,svm_lin,20,1.0,na,0,927,0.6165402017155246,0.6116504854368932,0.3106796116504855,0.6858623949227501,0.6133455188754418,0.7353931387728544,0.8491273027395085
3,3_4_5,svm_rbf,20,0.1,auto,0,927,0.38361297011970963,0.5,0.0703883495145631,0.2449924274443877,0.23944556754436672,0.23900739830971776,0.23753318332565113
3,3_4_5,svm_rbf,20,0.1,scale,0,927,0.38360707889527756,0.5,0.0703883495145631,0.2449924932976653,0.23944563213785724,0.23900746182725033,0.2375332355821367
3,3_4_5,svm_rbf,20,1.0,auto,0,927,0.32434136110849277,0.5,0.004854368932038833,0.04607236652378857,0.05796914311206194,0.057207242211290636,0.0546650141429917
3,3_4_5,svm_rbf,20,1.0,scale,0,927,0.32434136110849277,0.5,0.004854368932038833,0.04607272031212727,0.057969306694095564,0.05720741357385054,0.054665268926899886
3,3_4_5,svm_rbf,20,10.0,auto,0,927,0.31426147610519367,0.5,0.009708737864077666,0.0009584124183186286,0.003108759678016007,0.002972629107936018,0.0022690260783231595
3,3_4_5,svm_rbf,20,10.0,scale,0,927,0.31425558488076155,0.5,0.009708737864077666,0.0009575812584313583,0.0031066810469997197,0.002970574779841874,0.0022673398875440935
3,3_4_5,lda,20,nan,na,0,927,0.6050346403996606,0.470873786407767,0.27427184466019416,0.04836059696133285,0.20621860082129911,0.289076862222926,0.2621466724679927
