model,k,C,gamma,n_est,n_blocks,n_combos,auc_mean,auc_std,acc_mean,acc_std,j_mean,j_std,j_threshold_mean,p_high_low_mean,p_high_moderate_mean,p_high_high_mean
svm_lin,30,1.0,na,0,6,1,0.7049,0.0,0.5947,0.0,0.3301,0.0,0.8984,0.6613,0.8395,0.9466
svm_lin,40,0.01,na,0,1,6,0.5312,0.0626,0.5198,0.0443,0.093,0.0926,inf,0.4329,0.4634,0.4833
svm_lin,40,0.01,na,0,2,15,0.6163,0.0615,0.5286,0.0432,0.217,0.0887,inf,0.4858,0.5501,0.5785
svm_lin,40,0.01,na,0,3,20,0.6425,0.0428,0.5457,0.0538,0.262,0.049,0.5691,0.4993,0.59,0.6342
svm_lin,40,0.01,na,0,4,15,0.658,0.0361,0.5515,0.0466,0.2841,0.0363,0.6987,0.6029,0.7095,0.7595
svm_lin,40,0.01,na,0,5,6,0.6636,0.0265,0.5609,0.0276,0.2852,0.0332,0.8352,0.7104,0.8268,0.8879
svm_lin,40,0.01,na,0,6,1,0.6748,0.0,0.5583,0.0,0.3107,0.0,0.9698,0.794,0.9068,0.9732
svm_lin,40,0.1,na,0,1,6,0.5353,0.0411,0.5206,0.0461,0.089,0.0882,inf,0.4334,0.4638,0.4855
svm_lin,40,0.1,na,0,2,15,0.5976,0.0631,0.5255,0.0361,0.1888,0.096,inf,0.5064,0.558,0.5776
svm_lin,40,0.1,na,0,3,20,0.6385,0.058,0.5493,0.0516,0.2542,0.0743,0.5942,0.5084,0.615,0.6583
svm_lin,40,0.1,na,0,4,15,0.6777,0.0318,0.5744,0.0519,0.3099,0.045,0.7207,0.5689,0.7053,0.7802
svm_lin,40,0.1,na,0,5,6,0.7057,0.0104,0.5993,0.0379,0.3463,0.0185,0.9104,0.6619,0.8226,0.9368
svm_lin,40,0.1,na,0,6,1,0.7088,0.0,0.6007,0.0,0.3544,0.0,0.9568,0.672,0.8579,0.9603
svm_lin,40,1.0,na,0,1,6,0.5465,0.0407,0.502,0.0136,0.1064,0.0735,inf,0.4854,0.4911,0.4948
svm_lin,40,1.0,na,0,2,15,0.5795,0.061,0.539,0.0453,0.1529,0.0976,inf,0.4917,0.5635,0.6011
svm_lin,40,1.0,na,0,3,20,0.6277,0.0724,0.5513,0.0543,0.237,0.097,0.5139,0.4955,0.5985,0.6408
svm_lin,40,1.0,na,0,4,15,0.6888,0.0273,0.6035,0.0508,0.3173,0.0445,0.7191,0.5285,0.6837,0.7942
svm_lin,40,1.0,na,0,5,6,0.7185,0.0118,0.6272,0.0473,0.358,0.0134,0.7473,0.5476,0.7237,0.8573
svm_lin,40,1.0,na,0,6,1,0.7438,0.0,0.6177,0.0,0.3811,0.0,0.9265,0.6121,0.8009,0.934
svm_lin,54,0.01,na,0,1,6,0.5298,0.0581,0.5095,0.0213,0.0825,0.0882,inf,0.4689,0.4819,0.4952
svm_lin,54,0.01,na,0,2,15,0.5946,0.09,0.527,0.0417,0.2094,0.0993,inf,0.4849,0.5448,0.5703
svm_lin,54,0.01,na,0,3,20,0.6397,0.0593,0.544,0.0573,0.2625,0.0774,0.5301,0.5052,0.5907,0.6301
svm_lin,54,0.01,na,0,4,15,0.663,0.0422,0.5544,0.0411,0.2992,0.0512,0.7037,0.616,0.7307,0.7809
svm_lin,54,0.01,na,0,5,6,0.6734,0.027,0.5649,0.0375,0.3139,0.0342,0.8925,0.7473,0.8735,0.932
svm_lin,54,0.01,na,0,6,1,0.6791,0.0,0.5461,0.0,0.3228,0.0,0.9737,0.8286,0.9396,0.9817
svm_lin,54,0.1,na,0,1,6,0.5441,0.037,0.5127,0.0285,0.089,0.062,inf,0.4423,0.4653,0.4749
svm_lin,54,0.1,na,0,2,15,0.5959,0.084,0.5306,0.0449,0.2095,0.1094,inf,0.5106,0.5685,0.5969
svm_lin,54,0.1,na,0,3,20,0.629,0.073,0.541,0.0462,0.2455,0.0916,0.5697,0.5418,0.6319,0.6686
svm_lin,54,0.1,na,0,4,15,0.6811,0.0367,0.5735,0.0547,0.3089,0.0571,0.6896,0.5755,0.7023,0.7825
svm_lin,54,0.1,na,0,5,6,0.7104,0.0168,0.6062,0.0408,0.3422,0.0287,0.841,0.6673,0.8086,0.9304
svm_lin,54,0.1,na,0,6,1,0.7314,0.0,0.5752,0.0,0.3738,0.0,0.9818,0.7578,0.8818,0.9768
svm_lin,54,1.0,na,0,1,6,0.5196,0.0712,0.4905,0.0306,0.0951,0.0797,inf,0.5105,0.4998,0.4847
svm_lin,54,1.0,na,0,2,15,0.584,0.0801,0.5245,0.0382,0.1638,0.1096,inf,0.5287,0.5743,0.5986
svm_lin,54,1.0,na,0,3,20,0.6283,0.0839,0.5582,0.0533,0.2409,0.1004,0.6369,0.5893,0.6864,0.7442
svm_lin,54,1.0,na,0,4,15,0.6828,0.0419,0.5854,0.0505,0.3083,0.0654,0.7594,0.5949,0.7149,0.82
svm_lin,54,1.0,na,0,5,6,0.7103,0.024,0.6175,0.035,0.3321,0.0521,0.8504,0.6133,0.7458,0.8961
svm_lin,54,1.0,na,0,6,1,0.7376,0.0,0.6068,0.0,0.3568,0.0,0.8948,0.6667,0.7975,0.9487
svm_rbf,10,0.1,auto,0,1,6,0.4541,0.0727,0.501,0.0023,0.0044,0.01,inf,0.333,0.336,0.3323
svm_rbf,10,0.1,auto,0,2,15,0.5194,0.1147,0.5007,0.0022,0.1172,0.1358,inf,0.2167,0.2173,0.2177
svm_rbf,10,0.1,auto,0,3,20,0.5197,0.1253,0.4966,0.0163,0.1504,0.122,inf,0.2095,0.2093,0.2105
svm_rbf,10,0.1,auto,0,4,15,0.5132,0.1182,0.5,0.0,0.1301,0.1284,inf,0.1942,0.1945,0.1946
svm_rbf,10,0.1,auto,0,5,6,0.4829,0.1221,0.5,0.0,0.11,0.1159,0.1943,0.1879,0.1882,0.1879
